cv,,,,,,,,,,,,
project,SFA,,,,SFA-,,,,MFA,,,
,acc,F1,mcc,auc,acc,F1,mcc,auc,acc,F1,mcc,auc
ant,0.520 ,0.493 ,0.215 ,0.783 ,0.508 ,0.488 ,0.234 ,0.576 ,0.793 ,0.607 ,0.472 ,0.794 
camel,0.466 ,0.294 ,0.081 ,0.623 ,0.740 ,0.200 ,0.123 ,0.642 ,0.705 ,0.363 ,0.203 ,0.639 
jedit,0.803 ,0.554 ,0.435 ,0.803 ,0.699 ,0.549 ,0.384 ,0.787 ,0.778 ,0.598 ,0.458 ,0.799 
lucene,0.444 ,0.181 ,0.108 ,0.683 ,0.448 ,0.190 ,0.115 ,0.678 ,0.630 ,0.640 ,0.310 ,0.681 
poi,0.580 ,0.547 ,0.243 ,0.673 ,0.695 ,0.771 ,0.328 ,0.689 ,0.737 ,0.821 ,0.387 ,0.698 
velocity,0.661 ,0.399 ,0.000 ,0.561 ,0.548 ,0.586 ,0.064 ,0.513 ,0.603 ,0.609 ,0.253 ,0.663 
xalan,0.516 ,0.335 ,0.000 ,0.444 ,0.531 ,0.617 ,0.093 ,0.670 ,0.652 ,0.660 ,0.308 ,0.700 
Avg,0.570 ,0.400 ,0.154 ,0.653 ,0.595 ,0.486 ,0.192 ,0.651 ,0.700 ,0.614 ,0.341 ,0.711 
cp,,,,,,,,,,,,
project,SFA,,,,SFA-,,,,MFA,,,
,acc,F1,mcc,auc,acc,F1,mcc,auc,acc,F1,mcc,auc
ant,0.652 ,0.447 ,0.189 ,0.677 ,0.655 ,0.567 ,0.225 ,0.653 ,0.673 ,0.559 ,0.281 ,0.675 
camel,0.565 ,0.313 ,0.186 ,0.681 ,0.543 ,0.180 ,0.089 ,0.596 ,0.647 ,0.562 ,0.286 ,0.705 
jedit,0.553 ,0.383 ,0.063 ,0.571 ,0.647 ,0.562 ,0.223 ,0.650 ,0.702 ,0.589 ,0.302 ,0.692 
lucene,0.618 ,0.610 ,0.247 ,0.701 ,0.674 ,0.544 ,0.283 ,0.678 ,0.721 ,0.589 ,0.323 ,0.692 
poi,0.549 ,0.279 ,0.069 ,0.580 ,0.609 ,0.522 ,0.195 ,0.646 ,0.656 ,0.573 ,0.282 ,0.704 
velocity,0.655 ,0.310 ,0.158 ,0.629 ,0.637 ,0.381 ,0.114 ,0.610 ,0.721 ,0.576 ,0.316 ,0.705 
xalan,0.629 ,0.192 ,0.088 ,0.545 ,0.645 ,0.558 ,0.272 ,0.678 ,0.687 ,0.577 ,0.306 ,0.699 
Avg,0.603 ,0.362 ,0.143 ,0.626 ,0.630 ,0.474 ,0.200 ,0.645 ,0.687 ,0.575 ,0.299 ,0.696 
