source,target,acc,precision,recall,F1,mcc,auc,TN,TP,FP,FN,rate,lr
ant-1.4,ant-1.6,0.809 ,0.629 ,0.663 ,0.646 ,0.515 ,0.775 ,222,61,36,31,0.45,0.001
ant-1.6,ant-1.7,0.777 ,0.502 ,0.657 ,0.569 ,0.430 ,0.814 ,467,109,108,57,0.5,0.001
camel-1.2,camel-1.4,0.678 ,0.294 ,0.628 ,0.401 ,0.247 ,0.716 ,481,91,218,54,0.5,0.001
camel-1.4,camel-1.6,0.733 ,0.335 ,0.314 ,0.324 ,0.158 ,0.562 ,616,59,117,129,0.6,0.001
jedit-3.2,jedit-4.0,0.769 ,0.511 ,0.672 ,0.581 ,0.432 ,0.767 ,171,45,43,22,0.55,0.001
jedit-4.0,jedit-4.1,0.787 ,0.538 ,0.721 ,0.616 ,0.483 ,0.832 ,177,49,42,19,0.35,0.001
lucene-2.0,lucene-2.2,0.624 ,0.796 ,0.517 ,0.627 ,0.308 ,0.684 ,72,74,19,69,0.6,0.001
lucene-2.2,lucene-2.4,0.635 ,0.790 ,0.557 ,0.653 ,0.312 ,0.679 ,96,113,30,90,0.55,0.001
poi-1.5,poi-2.5,0.729 ,0.727 ,0.935 ,0.818 ,0.358 ,0.674 ,45,232,87,16,0.35,0.001
poi-2.5,poi-3.0,0.744 ,0.738 ,0.932 ,0.824 ,0.416 ,0.721 ,64,262,93,19,0.35,0.001
velocity-1.4,velocity-1.5,0.556 ,0.737 ,0.514 ,0.606 ,0.145 ,0.610 ,46,73,26,69,0.45,0.001
velocity-1.5,velocity-1.6,0.651 ,0.492 ,0.808 ,0.612 ,0.360 ,0.717 ,86,63,65,15,0.55,0.001
xalan-2.4,xalan-2.5,0.586 ,0.585 ,0.609 ,0.597 ,0.172 ,0.631 ,211,231,164,148,0.3,0.001
xalan-2.5,xalan-2.6,0.718 ,0.672 ,0.781 ,0.722 ,0.444 ,0.769 ,307,321,157,90,0.45,0.001
Avg,,0.700 ,0.596 ,0.665 ,0.614 ,0.341 ,0.711 ,,,,,0.468 ,0.001 
